Date,S&P_Close,S&P_Daily_Ret,DJI_Close,DJI_Daily_Ret,NDX_Close,NDX_Daily_Ret,ETH_Close,ETH_Daily_Ret,BTC_Close,BTC_Daily_Ret
2018-11-13,2722.18,-0.0,25286.49,-0.0,6830.91,0.0,206.83,-0.02,6359.49,-0.0
2018-11-14,2701.58,-0.01,25080.5,-0.01,6769.87,-0.01,181.4,-0.12,5738.35,-0.1
2018-11-15,2730.2,0.01,25289.27,0.01,6890.45,0.02,180.81,-0.0,5648.03,-0.02
2018-11-16,2736.27,0.0,25413.22,0.0,6867.02,-0.0,175.18,-0.03,5575.55,-0.01
2018-11-17,2736.27,0.0,25413.22,0.0,6867.02,0.0,174.0,-0.01,5554.33,-0.0
2018-11-18,2736.27,0.0,25413.22,0.0,6867.02,0.0,177.07,0.02,5623.54,0.01
2018-11-19,2690.73,-0.02,25017.44,-0.02,6642.92,-0.03,149.18,-0.16,4871.49,-0.13
2018-11-20,2641.89,-0.02,24465.64,-0.02,6526.96,-0.02,130.34,-0.13,4451.87,-0.09
2018-11-21,2649.93,0.0,24464.69,-0.0,6575.66,0.01,136.7,0.05,4602.17,0.03
2018-11-22,2649.93,0.0,24464.69,0.0,6575.66,0.0,126.71,-0.07,4365.94,-0.05
2018-11-23,2632.56,-0.01,24285.95,-0.01,6527.35,-0.01,123.3,-0.03,4347.11,-0.0
2018-11-24,2632.56,0.0,24285.95,0.0,6527.35,0.0,113.49,-0.08,3880.76,-0.11
2018-11-25,2632.56,0.0,24285.95,0.0,6527.35,0.0,116.45,0.03,4009.97,0.03
2018-11-26,2673.45,0.02,24640.24,0.01,6678.34,0.02,108.33,-0.07,3779.13,-0.06
2018-11-27,2682.17,0.0,24748.73,0.0,6701.04,0.0,110.01,0.02,3820.72,0.01
2018-11-28,2743.79,0.02,25366.43,0.02,6913.33,0.03,122.44,0.11,4257.42,0.11
2018-11-29,2737.8,-0.0,25338.84,-0.0,6892.4,-0.0,117.54,-0.04,4278.85,0.01
2018-11-30,2760.17,0.01,25538.46,0.01,6949.01,0.01,113.17,-0.04,4017.27,-0.06
2018-12-01,2760.17,0.0,25538.46,0.0,6949.01,0.0,118.64,0.05,4214.67,0.05
2018-12-02,2760.17,0.0,25538.46,0.0,6949.01,0.0,116.39,-0.02,4139.88,-0.02
2018-12-03,2790.37,0.01,25826.43,0.01,7062.13,0.02,108.93,-0.06,3894.13,-0.06
2018-12-04,2700.06,-0.03,25027.07,-0.03,6795.21,-0.04,110.21,0.01,3956.89,0.02
2018-12-05,2700.06,0.0,25027.07,0.0,6795.21,0.0,102.48,-0.07,3753.99,-0.05
2018-12-06,2695.95,-0.0,24947.67,-0.0,6838.85,0.01,91.76,-0.1,3521.1,-0.06
2018-12-07,2633.08,-0.02,24388.95,-0.02,6613.28,-0.03,93.29,0.02,3419.94,-0.03
